Index,Formula,Decomposition Energy,Band Gap,K,Rb,Cs,MA,FA,Ca,Sr,Ba,Ge,Sn,Pb,Cl,Br,I,A_ion_rad,A_BP,A_MP,A_dens,A_at_wt,A_EA,A_IE,A_hof,A_hov,A_En,A_at_num,A_period,B_ion_rad,B_BP,B_MP,B_dens,B_at_wt,B_EA,B_IE,B_hof,B_hov,B_En,B_at_num,B_period,X_ion_rad,X_BP,X_MP,X_dens,X_at_wt,X_EA,X_IE,X_hof,X_hov,X_En,X_at_num,X_period
358,MA1Sr0.12Pb0.88I3,0.028258772,1.941,0,0,0,1,0,0,0.125,0,0,0,0.875,0,0,1,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.19875,1977,655.81875,10.24875,192.2525,75.25,694.75,5.19875,172.775,2.1575,76.5,5.875,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
359,K1Ca1Cl1.5Br1.5,0.136437908,4.1568,1,0,0,0,0,1,0,0,0,0,0,0.5,0.5,0,1.51,1033,336.8,0.86,39.0983,48.36,418.8,2.33,76.9,0.82,19,4,1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,1.885,285.515,219.06,3.167,57.67835,336.7,1195.5,4.248,12.4625,3.06,26,3.5
360,K0.62Rb0.25Cs0.12Sn1Br3,0.026673025,0.5702,0.625,0.25,0.125,0,0,0,0,0,0,1,0,0,1,0,1.56375,1003.875,326.35,1.15425,62.4165625,47.63375,409.4625,2.30275,73.83,0.81625,28,4.5,0.71,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
361,MA0.25FA0.75Sr1I3,-0.024422549,3.4303,0,0,0,0.25,0.75,0,1,0,0,0,0,0,0,1,2.44,306,310.75,1,41.85,8.62,868.25,6.4075,27.725,2.565,86.5,7.75,1.26,1655,1042,2.54,87.62,-168,549.5,8.2,136.9,0.95,38,5,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
362,MA0.12FA0.88Ca1Br3,0.086629826,4.001,0,0,0,0.125,0.875,1,0,0,0,0,0,0,1,0,2.485,312.5,332.375,1.05,43.475,8.61,858.625,6.45375,28.3625,2.5675,88.75,7.875,1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
363,K1Sr1Br3,0.425611789,3.7108,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1.51,1033,336.8,0.86,39.0983,48.36,418.8,2.33,76.9,0.82,19,4,1.26,1655,1042,2.54,87.62,-168,549.5,8.2,136.9,0.95,38,5,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
364,Rb0.38Cs0.12FA0.5Ba1I3,0.161601612,3.3887,0,0.375,0.125,0,0.5,0,0,1,0,0,0,0,0,1,2.08625,637.875,331.92875,1.35825,71.2136,27.57,622.5875,4.389,48.9175,1.69125,66.25,6.625,1.42,2078,1002,3.59,137.33,-52,502.9,8.01,140.2,0.89,56,6,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
365,Rb0.38Cs0.25FA0.38Sn1Br3,-0.213200517,1.8398,0,0.375,0.25,0,0.375,0,0,0,0,1,0,0,1,0,1.9875,716,325.37125,1.4545,82.189275,32.18125,563.425,3.838,53.76,1.46875,61.75,6.375,0.71,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
366,Rb1Ba1I3,0.50919456,3.2315,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1.61,961,312.63,1.532,85.4678,46.89,403,2.34,69.2,0.82,37,5,1.42,2078,1002,3.59,137.33,-52,502.9,8.01,140.2,0.89,56,6,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
367,FA1Ba0.5Pb0.5I3,0.091907332,2.3867,0,0,0,0,1,0,0,0.5,0,0,0.5,0,0,1,2.53,319,354,1.1,45.1,8.6,849,6.5,29,2.57,91,8,1.305,2050.5,801.325,7.47,172.265,29,609.2,6.39,159.05,1.61,69,6,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
368,FA1Pb1Cl0.38Br2.62,-0.16880786,2.2314,0,0,0,0,1,0,0,0,0,0,1,0.125,0.875,0,2.53,319,354,1.1,45.1,8.6,849,6.5,29,2.57,91,8,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,1.94125,320.26625,254.2275,3.13175,74.3475875,327.625,1153.8,5.0265,14.159375,2.985,32.75,3.875
369,K0.38Cs0.12FA0.5Ca1I3,0.10845016,3.5565,0.375,0,0.125,0,0.5,1,0,0,0,0,0,0,0,1,2.04875,664.875,340.9925,1.10625,53.8250375,28.12125,628.5125,4.38525,51.805,1.69125,59.5,6.25,1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
370,Rb1Ge0.88Sn0.12I3,0.138440318,0.4282,0,1,0,0,0,0,0,0,0.875,0.125,0,0,0,1,1.61,961,312.63,1.532,85.4678,46.89,403,2.34,69.2,0.82,37,5,0.5525,3078.125,1123.2025,5.56875,78.3725,120.125,755.4125,28.725,328.80875,2.00375,34.25,4.125,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
371,K0.12Cs0.88Ba1I3,0.312958188,3.4098,0.125,0,0.875,0,0,0,0,1,0,0,0,0,0,1,1.71125,955.125,305.9475,1.74375,121.1795125,45.84875,381.0875,2.12175,68.885,0.79375,50.5,5.75,1.42,2078,1002,3.59,137.33,-52,502.9,8.01,140.2,0.89,56,6,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
372,K1Ba1Br2.25I0.75,0.784093618,3.3228,1,0,0,0,0,0,0,1,0,0,0,0,0.75,0.25,1.51,1033,336.8,0.86,39.0983,48.36,418.8,2.33,76.9,0.82,19,4,1.42,2078,1002,3.59,137.33,-52,502.9,8.01,140.2,0.89,56,6,2.02,363.2625,296.1375,3.5725,91.654125,317.275,1107.025,5.9045,16.26875,2.885,39.5,4.25
373,K0.12Rb0.88Sn1Br3,-0.044778627,0.5715,0.125,0.875,0,0,0,0,0,0,0,1,0,0,1,0,1.5975,970,315.65125,1.448,79.6716125,47.07375,404.975,2.33875,70.1625,0.82,34.75,4.875,0.71,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
374,Cs1Sn1Br2.25I0.75,-0.222618261,0.5019,0,0,1,0,0,0,0,0,0,1,0,0,0.75,0.25,1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,0.71,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,2.02,363.2625,296.1375,3.5725,91.654125,317.275,1107.025,5.9045,16.26875,2.885,39.5,4.25
375,K0.38Rb0.62Sr1Br3,0.262687968,3.8015,0.375,0.625,0,0,0,0,1,0,0,0,0,0,1,0,1.5725,988,321.69375,1.28,68.0792375,47.44125,408.925,2.33625,72.0875,0.82,30.25,4.625,1.26,1655,1042,2.54,87.62,-168,549.5,8.2,136.9,0.95,38,5,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
376,K1Sn1I3,0.245147352,0.3707,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1.51,1033,336.8,0.86,39.0983,48.36,418.8,2.33,76.9,0.82,19,4,0.71,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
377,K0.25Rb0.25Cs0.12MA0.38Sr1Br3,0.046540901,4.1105,0.25,0.25,0.125,0.375,0,0,1,0,0,0,0,0,1,0,1.81125,716.625,267.925,1.09425,59.7922,32.75375,599.6625,3.72775,53.955,1.465,48.25,5.625,1.26,1655,1042,2.54,87.62,-168,549.5,8.2,136.9,0.95,38,5,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
378,FA1Ca0.25Sr0.12Ba0.12Ge0.38Pb0.12Br3,0.086364509,3.2243,0,0,0,0,1,0.25,0.125,0.125,0.375,0,0.125,0,1,0,2.53,319,354,1.1,45.1,8.6,849,6.5,29,2.57,91,8,0.9325,2323.875,1062.89375,4.5675,91.267,-7.75,654.225,16.68,220.905,1.525,39,4.625,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
379,FA1Ge1Cl0.75Br2.25,-0.281633938,2.9864,0,0,0,0,1,0,0,0,1,0,0,0.25,0.75,0,2.53,319,354,1.1,45.1,8.6,849,6.5,29,2.57,91,8,0.53,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,1.9225,308.6825,242.505,3.1435,68.791175,330.65,1167.7,4.767,13.59375,3.01,30.5,3.75
380,FA1Ge1Cl0.38Br2.62,-0.247951251,2.9078,0,0,0,0,1,0,0,0,1,0,0,0.125,0.875,0,2.53,319,354,1.1,45.1,8.6,849,6.5,29,2.57,91,8,0.53,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,1.94125,320.26625,254.2275,3.13175,74.3475875,327.625,1153.8,5.0265,14.159375,2.985,32.75,3.875
