Index,Formula,Decomposition Energy,Band Gap,K,Rb,Cs,MA,FA,Ca,Sr,Ba,Ge,Sn,Pb,Cl,Br,I,A_ion_rad,A_BP,A_MP,A_dens,A_at_wt,A_EA,A_IE,A_hof,A_hov,A_En,A_at_num,A_period,B_ion_rad,B_BP,B_MP,B_dens,B_at_wt,B_EA,B_IE,B_hof,B_hov,B_En,B_at_num,B_period,X_ion_rad,X_BP,X_MP,X_dens,X_at_wt,X_EA,X_IE,X_hof,X_hov,X_En,X_at_num,X_period
459,Cs1Ge0.12Pb0.88Cl3,-0.267056179,2.0158,0,0,1,0,0,0,0,0,0.125,0,0.875,1,0,0,1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,1.1075,2158.5,677.00625,10.59625,190.37625,111.25,721.325,8.14875,197.45,2.29,75.75,5.75,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
460,Rb1Sn1Cl0.38Br2.62,-0.075133527,0.578,0,1,0,0,0,0,0,0,0,1,0,0.125,0.875,0,1.61,961,312.63,1.532,85.4678,46.89,403,2.34,69.2,0.82,37,5,0.71,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,1.94125,320.26625,254.2275,3.13175,74.3475875,327.625,1153.8,5.0265,14.159375,2.985,32.75,3.875
461,Cs1Ca1I3,0.036261014,3.7135,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
462,MA1Ba0.12Pb0.88Cl1.5Br1.5,-0.140833135,2.4966,0,0,0,1,0,0,0,0.125,0,0,0.875,0.5,0.5,0,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.21875,2029.875,650.81875,10.38,198.46625,89.75,688.925,5.175,173.1875,2.15,78.75,6,1.885,285.515,219.06,3.167,57.67835,336.7,1195.5,4.248,12.4625,3.06,26,3.5
463,K1Sr0.88Ba0.12Cl3,0.484546233,4.3631,1,0,0,0,0,0,0.875,0.125,0,0,0,1,0,0,1.51,1033,336.8,0.86,39.0983,48.36,418.8,2.33,76.9,0.82,19,4,1.28,1707.875,1037,2.67125,93.83375,-153.5,543.675,8.17625,137.3125,0.9425,40.25,5.125,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
464,Rb1Ge1Cl3,-0.306378541,0.9724,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1.61,961,312.63,1.532,85.4678,46.89,403,2.34,69.2,0.82,37,5,0.53,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
465,FA1Pb1Br0.38I2.62,0.106556856,2.0812,0,0,0,0,1,0,0,0,0,0,1,0,0.125,0.875,2.53,319,354,1.1,45.1,8.6,849,6.5,29,2.57,91,8,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.17,441.79375,371.60625,4.70375,121.0294375,298.9625,1024.8375,7.45075,20.128125,2.6975,50.75,4.875
466,Rb0.12Cs0.12MA0.75Sr1Br3,-0.034344435,4.236,0,0.125,0.125,0.75,0,0,1,0,0,0,0,0,1,0,2.04625,438.375,212.52125,0.95025,51.37165,18.0575,791.8375,5.1515,35.0425,2.11375,66.25,6.625,1.26,1655,1042,2.54,87.62,-168,549.5,8.2,136.9,0.95,38,5,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
467,FAPbCl3,-0.1700222,2.6111,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2.53,319,354,1.1,45.1,8.6,849,6.5,29,2.57,91,8,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
468,MAGeBr3,-0.243220891,1.6123,0,0,0,1,0,0,0,0,1,0,0,0,1,0,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,0.53,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
469,FAPbI3,0.136704563,1.942,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2.53,319,354,1.1,45.1,8.6,849,6.5,29,2.57,91,8,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
470,MAPbBrI2,-0.013896464,1.8685,0,0,0,1,0,0,0,0,0,0,1,0,0.333333333,0.666666667,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.12,415.6166667,346.45,4.326666667,111.2376667,305.0666667,1052.233333,6.935333333,18.84166667,2.76,47,4.666666667
471,MASnBr3,-0.227692925,1.2624,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,0.71,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
472,CsGeCl3,-0.443439231,1.0509,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,0.53,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
473,CsSnBr3,-0.272495115,0.6341,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,0.71,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
474,FAGeCl3,-0.486283504,3.0475,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2.53,319,354,1.1,45.1,8.6,849,6.5,29,2.57,91,8,0.53,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
475,MAPbBr2I,-0.070282476,1.9528,0,0,0,1,0,0,0,0,0,0,1,0,0.666666667,0.333333333,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.04,373.7333333,306.2,3.723333333,95.57083333,314.8333333,1096.066667,6.110666667,16.78333333,2.86,41,4.333333333
476,CsPbBr3,-0.170484695,1.7743,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
477,FASnCl3,-0.304140334,2.465,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2.53,319,354,1.1,45.1,8.6,849,6.5,29,2.57,91,8,0.71,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
478,FAGeI3,0.029892055,1.4671,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2.53,319,354,1.1,45.1,8.6,849,6.5,29,2.57,91,8,0.53,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
479,MASnI3,-0.156821981,0.8792,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,0.71,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
480,MAPbBr0.5I2.5,0.025974537,1.7927,0,0,0,1,0,0,0,0,0,0,1,0,0.166666667,0.833333333,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.16,436.5583333,366.575,4.628333333,119.0710833,300.1833333,1030.316667,7.347666667,19.87083333,2.71,50,4.833333333
481,MASn0.25Pb0.75I3,-0.020597588,1.4117,0,0,0,1,0,0,0,0,0,0.25,0.75,0,0,1,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.07,2236.25,576.7675,10.34,185.0775,112.75,713.775,5.3775,206.0175,2.2375,74,5.75,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
482,CsGeBr3,-0.27515562,0.7675,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,0.53,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
483,CsPbI3,0.06545895,1.4822,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
484,CsGe0.25Sn0.75Br3,-0.269320781,0.5979,0,0,1,0,0,0,0,0,0.25,0.75,0,0,1,0,1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,0.665,2933.75,681.715,6.8125,107.185,120.75,721.975,13.35,301.3525,1.9725,45.5,4.75,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
485,MAPbCl3,-0.171076943,2.5263,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
486,CsPbBrI2,0.008919142,1.516,0,0,1,0,0,0,0,0,0,0,1,0,0.333333333,0.666666667,1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.12,415.6166667,346.45,4.326666667,111.2376667,305.0666667,1052.233333,6.935333333,18.84166667,2.76,47,4.666666667
487,MASn0.5Pb0.5I3,-0.062306251,1.2838,0,0,0,1,0,0,0,0,0,0.5,0.5,0,0,1,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,0.95,2449.5,552.885,9.33,162.955,115.5,712.05,5.985,234.135,2.145,66,5.5,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
488,CsGe0.75Sn0.25Br3,-0.278054099,0.6145,0,0,1,0,0,0,0,0,0.75,0.25,0,0,1,0,1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,0.575,3049.25,1034.905,5.8175,84.135,120.25,748.725,25.65,323.3175,1.9975,36.5,4.25,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
489,CsPbBr2I,-0.062194439,1.6272,0,0,1,0,0,0,0,0,0,0,1,0,0.666666667,0.333333333,1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.04,373.7333333,306.2,3.723333333,95.57083333,314.8333333,1096.066667,6.110666667,16.78333333,2.86,41,4.333333333
490,MAPbBr1.5I1.5,-0.044668571,1.8979,0,0,0,1,0,0,0,0,0,0,1,0,0.5,0.5,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.08,394.675,326.325,4.025,103.40425,309.95,1074.15,6.523,17.8125,2.81,44,4.5
491,FASn0.5Pb0.5I3,-0.082219256,1.2924,0,0,0,0,1,0,0,0,0,0.5,0.5,0,0,1,2.53,319,354,1.1,45.1,8.6,849,6.5,29,2.57,91,8,0.95,2449.5,552.885,9.33,162.955,115.5,712.05,5.985,234.135,2.145,66,5.5,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
492,MAGeCl3,-0.391287465,1.9549,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,0.53,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
493,CsGe0.5Sn0.5I3,-0.099344162,0.56,0,0,1,0,0,0,0,0,0.5,0.5,0,0,0,1,1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,0.62,2991.5,858.31,6.315,95.66,120.5,735.35,19.5,312.335,1.985,41,4.5,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
494,MAPbBr3,-0.151766578,1.9742,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
495,CsPbCl3,-0.244610046,2.2116,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
496,FASnI3,-0.169828955,1.0545,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2.53,319,354,1.1,45.1,8.6,849,6.5,29,2.57,91,8,0.71,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
497,CsSn0.5Pb0.5I3,-0.043140551,0.9731,0,0,1,0,0,0,0,0,0,0.5,0.5,0,0,1,1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,0.95,2449.5,552.885,9.33,162.955,115.5,712.05,5.985,234.135,2.145,66,5.5,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
498,CsSnCl3,-0.323973056,1.0285,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,0.71,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
499,MASn0.75Pb0.25I3,-0.124688676,1.1112,0,0,0,1,0,0,0,0,0,0.75,0.25,0,0,1,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,0.83,2662.75,529.0025,8.32,140.8325,118.25,710.325,6.5925,262.2525,2.0525,58,5.25,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
500,CsPbBr1.5I1.5,-0.023145422,1.6016,0,0,1,0,0,0,0,0,0,0,1,0,0.5,0.5,1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.08,394.675,326.325,4.025,103.40425,309.95,1074.15,6.523,17.8125,2.81,44,4.5
501,FAGeBr3,-0.211347297,2.1095,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2.53,319,354,1.1,45.1,8.6,849,6.5,29,2.57,91,8,0.53,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
502,FASn0.75Pb0.25I3,-0.118788318,1.2242,0,0,0,0,1,0,0,0,0,0.75,0.25,0,0,1,2.53,319,354,1.1,45.1,8.6,849,6.5,29,2.57,91,8,0.83,2662.75,529.0025,8.32,140.8325,118.25,710.325,6.5925,262.2525,2.0525,58,5.25,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
503,CsSnI3,-0.151907886,0.4835,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,0.71,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
504,MAPbI3,0.034122199,1.8522,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
505,MASnCl3,-0.246338214,1.5821,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,0.71,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
506,CsGeI3,-0.006497895,0.6381,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,0.53,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
507,MAGeI3,-0.030201756,1.311,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,0.53,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
508,FASn0.25Pb0.75I3,-0.022526895,1.5294,0,0,0,0,1,0,0,0,0,0.25,0.75,0,0,1,2.53,319,354,1.1,45.1,8.6,849,6.5,29,2.57,91,8,1.07,2236.25,576.7675,10.34,185.0775,112.75,713.775,5.3775,206.0175,2.2375,74,5.75,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
509,CsGe0.5Sn0.5Br3,-0.294720897,0.7033,0,0,1,0,0,0,0,0,0.5,0.5,0,0,1,0,1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,0.62,2991.5,858.31,6.315,95.66,120.5,735.35,19.5,312.335,1.985,41,4.5,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
510,FAPbBr3,-0.156236016,2.1126,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2.53,319,354,1.1,45.1,8.6,849,6.5,29,2.57,91,8,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
511,FASnBr3,-0.237265655,1.341,0,0,0,0,1,0,0,0,0,1,0,0,1,0,2.53,319,354,1.1,45.1,8.6,849,6.5,29,2.57,91,8,0.71,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
